measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,126,Costa Rica,3,Both,22,All ages,294,All causes,1,Number,2019,24415.69786912129,30137.731801923743,19699.34327787872
1,Deaths,46,Croatia,3,Both,22,All ages,294,All causes,1,Number,1991,54601.02849843318,60062.67580107351,49930.86184556188
1,Deaths,109,Cuba,3,Both,22,All ages,294,All causes,1,Number,2018,107605.2006656442,117906.3729915722,97617.68588433885
1,Deaths,77,Cyprus,3,Both,22,All ages,294,All causes,1,Number,2019,8707.449859433837,9459.405078356038,8033.829427774413
1,Deaths,47,Czechia,3,Both,22,All ages,294,All causes,1,Number,1990,128788.81128119989,130005.98436873688,127624.5857946465
1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,294,All causes,1,Number,2003,239777.6089805439,266927.6712294523,212884.0710543984
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,294,All causes,1,Number,1995,277735.05155554763,454904.3740315125,196750.0468272812
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All ages,294,All causes,1,Number,2003,697178.0991945324,759037.2378230167,638888.3116058246
1,Deaths,78,Denmark,3,Both,22,All ages,294,All causes,1,Number,1995,61418.00247041368,61930.57443624979,60925.362383899424
1,Deaths,177,Djibouti,3,Both,22,All ages,294,All causes,1,Number,2019,7575.485405996067,9507.686709941818,6125.326715835038
1,Deaths,110,Dominica,3,Both,22,All ages,294,All causes,1,Number,2017,789.0084037762495,902.5725162196984,691.905375879316
1,Deaths,111,Dominican Republic,3,Both,22,All ages,294,All causes,1,Number,2016,71150.21948702353,78914.6603050681,63597.39367664531
1,Deaths,122,Ecuador,3,Both,22,All ages,294,All causes,1,Number,2019,92531.26243230724,113497.39511128428,76616.42337506819
1,Deaths,141,Egypt,3,Both,22,All ages,294,All causes,1,Number,2019,561555.8303864418,697778.0074124029,448048.7494178612
1,Deaths,127,El Salvador,3,Both,22,All ages,294,All causes,1,Number,2015,42259.100645687824,46116.11032631297,38739.65160907776
1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,294,All causes,1,Number,1996,8033.084885813512,9411.592911064274,6677.987670301678
1,Deaths,178,Eritrea,3,Both,22,All ages,294,All causes,1,Number,1999,60247.697751220585,76534.77809917241,49117.185730016135
1,Deaths,58,Estonia,3,Both,22,All ages,294,All causes,1,Number,1994,22143.20696908795,22671.487070760297,21620.84607162034
1,Deaths,197,Eswatini,3,Both,22,All ages,294,All causes,1,Number,2005,19701.76144215405,23380.8250921758,16256.990710892627
1,Deaths,179,Ethiopia,3,Both,22,All ages,294,All causes,1,Number,1999,939543.9957484072,1061525.4267474776,867733.53572285
1,Deaths,22,Fiji,3,Both,22,All ages,294,All causes,1,Number,2019,7419.065157968973,9148.509022974542,5974.073941659736
1,Deaths,79,Finland,3,Both,22,All ages,294,All causes,1,Number,2019,56113.32062453856,57860.04858836657,54498.606347765
1,Deaths,80,France,3,Both,22,All ages,294,All causes,1,Number,2019,603277.7991764937,613244.7381540491,593795.459349068
1,Deaths,173,Gabon,3,Both,22,All ages,294,All causes,1,Number,2003,13204.24701969536,15031.363229755349,11629.492803389969
1,Deaths,206,Gambia,3,Both,22,All ages,294,All causes,1,Number,2019,13505.055751146794,15580.80060638638,11808.586290011834
1,Deaths,35,Georgia,3,Both,22,All ages,294,All causes,1,Number,1992,59703.84036918508,64112.206558859645,55587.310692130646
1,Deaths,81,Germany,3,Both,22,All ages,294,All causes,1,Number,2019,959888.9814339356,976704.8420606328,945808.0705985964
1,Deaths,207,Ghana,3,Both,22,All ages,294,All causes,1,Number,2010,212605.66748196565,228409.7728220291,196627.04212745104
1,Deaths,82,Greece,3,Both,22,All ages,294,All causes,1,Number,2019,128668.64536622218,131434.54294004923,126124.53612830708
1,Deaths,349,Greenland,3,Both,22,All ages,294,All causes,1,Number,2019,480.4592389765878,564.4337557468141,400.1222333216425
1,Deaths,112,Grenada,3,Both,22,All ages,294,All causes,1,Number,1990,823.8236593142523,878.5406950211734,771.8711212695717
1,Deaths,351,Guam,3,Both,22,All ages,294,All causes,1,Number,2019,1127.6833279884518,1307.972343290729,974.6034147016892
1,Deaths,128,Guatemala,3,Both,22,All ages,294,All causes,1,Number,2019,94820.58295694538,117671.5567366991,75913.39722397838
1,Deaths,208,Guinea,3,Both,22,All ages,294,All causes,1,Number,2014,124022.0996372369,142938.98369944916,106839.3247058356
